location,mean_X,mean_Y,mean_Z,std_X,std_Y,std_Z,skew_X,skew_Y,skew_Z,label
1,-0.023928986,0.112578583,-0.990091858,0.157646429,0.188360281,0.101931994,-0.443175763,2.052829268,0.103821912,11
1,-0.037360077,-0.007462921,-0.996015015,0.090459383,0.118506878,0.076648866,0.666669825,-0.122277043,0.050711102,11
1,-0.089317017,-0.017024689,-0.990882568,0.091633699,0.100887905,0.082320816,-0.5655202,-0.045077937,1.029924209,11
1,-0.101585236,-0.027065277,-0.996975708,0.092982429,0.100443528,0.078133237,-0.378989596,-0.160353136,-0.628183629,11
1,-0.099573669,-0.008085022,-1.003561859,0.076270554,0.11902027,0.059293019,-0.111908869,-0.18992932,-0.381072199,11
1,-0.089071655,-0.073777466,-0.995306549,0.084119339,0.101749669,0.080582434,-1.476124524,0.377463086,0.225317512,11
1,-0.06852066,-0.049486084,-1.010426025,0.093036089,0.121277323,0.064911493,-1.961746659,0.012333031,-0.149655009,11
1,-0.064670715,0.032100525,-1.004513245,0.068085163,0.096441215,0.056304791,-0.108533772,0.187072373,-0.364721272,11
1,-0.058295746,-0.007658386,-1.001222229,0.050568273,0.085514959,0.029706855,0.465073855,-0.395581532,-0.092050379,11
1,-0.058270721,-0.027600403,-1.010028992,0.092609401,0.082404186,0.066822478,-1.736950134,0.741455526,0.151452377,11
1,-0.057072449,-0.02017868,-0.997049561,0.048589758,0.096531262,0.047644649,0.010180505,0.011611971,1.227563658,11
1,-0.058890228,-0.032515259,-0.994484863,0.064328634,0.121262562,0.064731289,-0.030254617,0.237852988,1.477165746,11
1,-0.070303192,-0.011183624,-1.000401611,0.073306694,0.105202198,0.062235002,-0.192295892,0.177401535,0.224192426,11
1,-0.039683838,0.026796875,-1.002784729,0.074383272,0.101129736,0.06523378,0.460629631,1.095348542,0.248339027,11
1,-0.051762085,-0.066745605,-1.00699585,0.071394724,0.081871687,0.04429262,-0.765146804,0.195195294,-0.022798004,11
1,-0.05417923,-0.026256256,-1.005838928,0.069036951,0.090376167,0.061673399,0.479176942,-0.76901268,-0.107069548,11
1,-0.048985138,-0.041269532,-1.000657043,0.049554262,0.084124196,0.038440569,-0.049023312,0.410481774,0.115762869,11
1,-0.057424164,-0.038586578,-0.996484985,0.03834071,0.088344481,0.05349452,-1.310604901,0.123514864,-0.174085018,11
1,-0.052071228,-0.028923035,-0.998461304,0.063067686,0.083464676,0.039459312,-0.811510624,-0.250126297,0.521121333,11
1,-0.040946503,-0.011872101,-1.00382309,0.063673246,0.089524992,0.042302161,0.288358163,0.537526853,-0.347077434,11
1,-0.04769043,-0.013634033,-1.003708954,0.106268817,0.085149355,0.061016215,-2.776880877,-0.283230581,0.352655642,11
1,-0.032434082,-0.028636016,-1.005529327,0.0580717,0.069069535,0.04077789,0.698470998,-0.31560347,-0.095430578,11
1,-0.048150635,-0.012832031,-0.996929016,0.05753908,0.07642321,0.059227212,-1.015012781,-0.764940993,0.669780397,11
1,-0.038209991,-0.009829712,-0.99931427,0.06495884,0.093278973,0.043755067,-0.429488231,0.013268074,0.196882427,11
1,-0.025989533,-0.04704483,-1.006057434,0.078174888,0.113954876,0.066932249,2.876591112,0.348073484,-0.897671419,11
1,-0.025917816,-0.027798309,-0.994402618,0.068145758,0.096687237,0.071109617,0.359562837,-0.694844058,-0.221272605,11
1,-0.005689392,-0.006803589,-0.998717957,0.07993063,0.102118725,0.084031416,-0.111355112,-0.388998405,0.181360264,11
1,0.01186615,-0.034020233,-1.007677307,0.086452031,0.086658983,0.044273455,1.903918496,0.122555823,-0.223336201,11
1,-0.012865448,-0.017040253,-1.002705231,0.061359781,0.081287846,0.059237294,-0.16023794,-0.432167319,0.447863491,11
1,-0.003810272,-0.042419128,-1.005694733,0.090228816,0.102899042,0.063016118,-0.123586487,-0.379716699,-0.442689588,11
1,-0.015305176,-0.030983887,-1.004742737,0.05272489,0.087189989,0.042867673,0.878954133,0.172432786,-0.274717959,11
1,-0.007944946,-0.036096954,-0.987246399,0.055655133,0.091941801,0.054757743,0.818585085,-0.463309927,0.534898757,11
1,-0.025381927,4.88E-05,-1.004579163,0.052093399,0.061536446,0.046261672,0.988333099,-0.914126495,0.0606297,11
1,-0.005960236,-0.043616028,-1.001639404,0.071378226,0.078953643,0.050263654,-0.120859553,0.303531737,0.69277088,11
1,-0.004583893,-0.032006073,-1.005312958,0.063493056,0.092755171,0.052886631,0.847652022,-0.448075249,-0.194649641,11
1,0.004931335,-0.006063385,-1.007362213,0.074551611,0.106541375,0.065203745,-0.50733811,0.715517902,0.937121656,11
1,-0.017383881,0.01459259,-0.991428375,0.126756578,0.21342455,0.117069274,-1.365668489,1.05225631,1.412617912,11
1,0.000607605,-0.00602829,-1.001391907,0.086196391,0.109506052,0.063044383,0.09501015,2.145431828,-0.24878581,11
1,-0.024599762,0.022550201,-0.993719177,0.069524914,0.118463775,0.059707151,0.112931218,1.187539088,0.369647523,11
1,-0.031162872,-0.005323792,-0.996277008,0.06248148,0.075894988,0.045334251,0.865857262,1.171560176,0.573884949,11
1,-0.056892548,-0.010846252,-1.003314972,0.075521968,0.141904725,0.086272065,-0.040102716,-0.468065453,-2.957627525,11
1,-0.045613861,0.022842255,-0.9997229,0.055670963,0.098828013,0.046481823,0.201283764,-0.308932605,0.572801099,11
1,0.005452576,0.036725616,-0.995987244,0.071200015,0.088228764,0.048511878,-0.236435392,0.112813961,0.110748795,11
1,-0.036750031,0.070732422,-0.996775208,0.041870423,0.071996149,0.034098672,0.783052319,-0.34973642,0.139358684,11
1,-0.00881134,0.047021027,-1.00059372,0.069943803,0.095980185,0.049162702,-1.140381223,0.533113961,0.195038096,11
1,-0.015639191,0.10463089,-1.002844849,0.065033526,0.109893578,0.055008632,0.384794265,0.08734281,0.181895062,11
1,-0.011196442,0.011668701,-0.998143463,0.060665702,0.081274872,0.051369049,0.187768661,0.160160053,0.338557711,11
1,-0.019594727,0.094149475,-0.998730621,0.05021667,0.068216987,0.028212981,0.616288032,0.608013067,0.008355491,11
1,-0.022272797,0.025197449,-0.999020996,0.053091529,0.055990814,0.046936356,0.238139173,-0.431044572,0.054995459,11
1,-0.025332184,0.029360046,-1.007884674,0.054000327,0.086142176,0.045375076,0.371266143,0.140392122,0.11317202,11
1,-0.008327026,0.03769516,-1.001086426,0.05511256,0.060942079,0.036431562,0.252409308,-0.186858766,0.611378338,11
1,-0.02834259,0.037748108,-0.996302185,0.050391139,0.102386048,0.062695176,0.707332613,-0.362057943,3.206319546,11
1,-0.022396393,-0.007149963,-0.997887421,0.078756844,0.130977065,0.059977484,0.668277657,-0.430454147,0.527292377,11
1,-0.001498566,0.086693268,-0.998330078,0.062055528,0.06878352,0.039502578,-0.680186185,0.549436458,-0.365490949,11
1,0.017276001,0.029866028,-1.008757629,0.07314964,0.072344501,0.052159548,-0.618988093,1.156844396,0.159700137,11
1,0.025422821,0.035219269,-0.998623505,0.070828165,0.090623663,0.054373453,-0.107749031,0.232559881,-0.618781574,11
1,-0.0279776,0.060440063,-1.001109467,0.05281169,0.088097896,0.042574781,0.297703884,-0.607171521,0.570164811,11
1,0.014376068,0.060400543,-0.989582367,0.071774315,0.084000456,0.04673701,0.675160769,-0.905707982,0.370058845,11
1,-0.016130676,0.07124115,-0.997213745,0.065879042,0.094114539,0.045442636,0.830199582,-0.918509368,0.146472087,11
1,-0.005907898,0.076538239,-0.998761749,0.076221116,0.097870767,0.065741143,0.507031021,-0.354376879,0.822481738,11
1,0.011177521,0.061489105,-0.994557495,0.084708029,0.078957308,0.049176542,0.401916772,-0.273716307,-0.347878524,11
1,-0.001773529,0.069903412,-0.999888306,0.057276964,0.096806472,0.052365832,0.719187826,-0.700211685,-0.853772004,11
1,0.025735626,0.032980042,-0.991822815,0.078263184,0.113941673,0.070980246,-0.555406754,0.342621988,-0.085039109,11
1,0.020412293,0.052085266,-0.995613709,0.076438354,0.090286986,0.047073978,-0.394489907,0.418189823,0.765251222,11
1,-0.015986786,0.081810303,-0.988496552,0.068816145,0.179565231,0.070497409,-0.386206582,0.320089026,0.592867499,11
1,0.021870117,0.100036316,-0.995954132,0.066000857,0.081627818,0.042110503,-0.499881075,-0.368078411,0.728817719,11
1,0.023463898,0.113365173,-0.995016174,0.067299377,0.073976979,0.055666377,-0.153462113,-0.971551532,-0.156056565,11
1,0.002853851,0.10434845,-0.994920197,0.056948814,0.075045873,0.041729198,0.757499852,0.20682279,-0.189264547,11
1,0.050847931,0.078160553,-0.992993469,0.060540971,0.064874435,0.040930492,-0.56694949,-0.2509479,0.433023918,11
1,0.057360687,0.144617157,-0.99050705,0.063260527,0.044706402,0.034578868,-0.924456263,0.329771414,0.568930229,11
1,0.065693207,0.153768158,-0.984074707,0.064309326,0.069520392,0.038597745,-0.886749478,0.579127259,1.315431686,11
1,0.015611877,0.084657898,-1.002901764,0.070147768,0.073060448,0.042614166,-0.026678562,-0.063360117,-0.643475674,11
1,0.017051239,0.167478027,-0.984433746,0.057169431,0.096943197,0.036062936,-0.142480073,-0.509689421,-0.137057811,11
1,0.061036225,0.041344452,-0.979788513,0.11554069,0.13252922,0.094651698,0.635966332,0.189722204,0.176108821,11
1,0.049898987,0.08769577,-0.996110382,0.078280425,0.079412402,0.038824984,-0.331952295,0.363775941,-0.148127858,11
1,0.003466187,0.15241684,-0.990486603,0.065864566,0.087604189,0.048682355,0.869699747,0.245491882,0.70666024,11
1,0.106756287,0.052980499,-0.991564026,0.087177898,0.112213084,0.038996858,2.694074645,1.43954773,0.07200889,11
1,0.017310486,0.06092392,-0.996077423,0.076989989,0.077386446,0.047039789,0.305496665,-0.40063656,0.001598966,11
1,0.017870941,0.033383942,-1.005814514,0.087541553,0.089373078,0.052880588,0.694395657,-0.035505168,0.435369141,11
1,0.030914307,0.105112762,-1.000826569,0.080583173,0.080297132,0.049389988,0.03805702,0.405927363,0.41055892,11
1,0.025113678,0.07942688,-0.993541107,0.077551614,0.07487992,0.037571022,-0.81094013,0.022980383,-0.694063932,11
1,0.019862976,0.08968277,-1.001522217,0.081781598,0.066337976,0.054853754,0.306677477,0.623439484,-0.498730129,11
1,0.001347656,0.018022614,-1.002841034,0.066568372,0.067290011,0.040028668,-0.306058987,-0.42363765,0.413599864,11
1,0.032148743,0.089747314,-0.99185791,0.068901224,0.095558879,0.039983523,-0.372002105,0.218739405,-0.703129624,11
1,0.021021881,0.061973724,-0.989904175,0.080387214,0.080516968,0.055380773,-0.271357718,-0.77525947,0.06581338,11
1,-0.017724457,0.038041687,-1.005455475,0.065893172,0.089944687,0.051826607,-0.343071532,0.332192568,0.838560154,11
1,0.060131836,0.036430969,-0.993131866,0.106777217,0.110922514,0.083232341,-0.035152133,0.401895349,0.174545092,11
1,0.006188965,0.087981415,-1.001277466,0.096319361,0.097980359,0.058520302,0.172802646,0.570159963,0.2674634,11
1,0.017337646,0.05051239,-0.995634308,0.089363526,0.090144483,0.047553658,0.354521715,0.970990099,0.71862742,11
1,-0.008766937,0.089973602,-0.996497192,0.055194833,0.094439225,0.060039674,0.682364529,-0.194885565,2.905792611,11
1,0.028231659,0.080682678,-0.99509964,0.073089055,0.092758848,0.045763845,-1.073879897,0.611195238,0.730561946,11
1,-0.01083374,0.046397705,-0.998725281,0.063807897,0.103361608,0.062695936,0.644956641,0.62204344,1.197652847,11
1,0.021468811,-0.006631622,-0.999575043,0.083571372,0.112801388,0.06901837,-0.303967486,-0.01430286,-0.56721825,11
1,-0.027610321,0.039410248,-1.005527496,0.064475283,0.073875632,0.045373297,1.467236603,-1.266099011,-0.592753731,11
1,0.016387634,-0.013862152,-1.004760895,0.068676262,0.109507004,0.063211373,-0.258417985,0.601148529,0.667986262,11
1,0.002928925,0.010800323,-1.006053009,0.071286937,0.105256247,0.062047713,0.126994913,0.044176285,0.585732024,11
1,0.014310913,0.037142181,-1.004667816,0.068760888,0.084577987,0.047337866,0.281664104,0.26088639,0.038471967,11
1,-0.01112854,0.031549988,-1.00482193,0.07653657,0.105099354,0.050186464,0.490967484,0.395600195,-0.192775348,11
1,0.015640564,0.005497589,-1.004911957,0.095207234,0.113183272,0.085638833,-1.338521613,0.105609588,0.352410675,11
1,0.013364563,0.021161499,-1.009864502,0.068110933,0.088783681,0.077739287,-0.568304238,-0.587155422,-0.409927025,11
1,0.050256348,0.062257385,-1.011406555,0.084900617,0.090567475,0.076634168,0.074183884,0.07051092,-0.320808523,11
1,0.074377918,0.07170167,-0.985644216,0.112711788,0.177207303,0.090872479,2.548491183,-0.654464258,1.620124147,11
1,0.06475372,0.07328731,-0.99431702,0.100195486,0.107993738,0.066188914,1.766960854,0.967058362,0.905586394,11
1,0.15558653,0.16918972,-0.96002132,0.093173969,0.098355602,0.052185849,0.703296919,-0.428606046,0.441041419,11
1,0.17049455,0.18404007,-0.98020398,0.034541588,0.088768765,0.03834244,2.218106801,-0.00022473,-1.193700773,11
1,0.19964796,0.14147979,-0.97061032,0.092755532,0.112842907,0.065280186,-0.406680316,-0.310759226,-0.370730052,11
1,0.24281417,0.16648745,-0.96500948,0.074741469,0.070079665,0.056083201,-0.775758616,-0.371694657,-0.759264199,11
1,0.25952657,0.19110958,-0.95330596,0.055611688,0.065026323,0.042834241,-3.174165978,0.441586739,-0.560412573,11
1,0.13349622,0.16460935,-0.98216354,0.08892929,0.096414945,0.049337742,-0.029568119,1.004045434,1.655875717,11
1,0.19057333,0.27769059,-0.92025073,0.100956472,0.213878075,0.110606789,0.549701419,0.999363079,0.245311681,11
1,0.17418969,0.4810292,-0.8337236,0.091069091,0.182596932,0.098557417,-0.303702877,-1.000554204,1.003183153,11
1,0.18273528,0.38353653,-0.89619568,0.059948938,0.156905342,0.09308567,-0.091063913,0.025612731,-0.618540103,11
1,0.19500995,0.14839717,-0.96835155,0.065042781,0.078196468,0.051680228,0.099212962,0.988102879,0.752299335,11
1,0.20082043,0.13264003,-0.97419057,0.042632205,0.093452256,0.046396886,0.969597418,0.798644277,0.044794847,11
1,0.2066321,0.14835881,-0.9766255,0.045193981,0.068561098,0.042385798,-0.102713873,0.040021212,-0.283134892,11
1,0.20621245,0.21393734,-0.95221111,0.053127325,0.079554873,0.075452426,0.750347255,-0.233893189,1.448145942,11
1,0.15830905,0.31460671,-0.92611265,0.042823546,0.154944433,0.081871566,1.834531024,0.641300086,1.073253495,11
1,0.10486767,0.50058439,-0.86643599,0.017032573,0.022274823,0.015304726,-4.091615174,2.143402386,4.10919716,11
1,0.10281772,0.5141409,-0.85813841,0.007735391,0.016781522,0.008932126,5.053580922,-0.851713693,-0.674887208,11
1,0.10374586,0.5409175,-0.84155718,0.0037357,0.015529232,0.007423181,0.485470842,-0.952141033,-0.311374033,11
1,0.24215544,0.3250124,-0.9236531,0.054640195,0.091640452,0.060467573,-2.157286209,3.498355665,-1.760533363,11
